t_s,Thrust_kN
0.0,821.492110441149
0.04001333777925975,823.5142910058569
0.0800266755585195,817.3692583576299
0.12004001333777925,815.3679696220308
0.160053351117039,817.6914754654508
0.20006668889629875,815.79479853692
0.2400800266755585,819.4711169835696
0.28009336445481825,820.9927742945441
0.320106702234078,821.6278107889331
0.36012004001333775,820.0033841187569
0.4001333777925975,818.0895874289744
0.44014671557185725,821.5027954709386
0.480160053351117,820.1512296141665
0.5201733911303767,817.9723699007959
0.5601867289096365,824.7895158097814
0.6002000666888962,818.3851704355759
0.640213404468156,818.0261649962436
0.6802267422474157,823.8871254428693
0.7202400800266755,819.8063825396258
0.7602534178059352,824.7841664120334
0.800266755585195,819.5759981615325
0.8402800933644547,817.2022649425745
0.8802934311437145,815.253463042611
0.9203067689229742,814.8807032001516
0.960320106702234,820.8991395159042
1.0003334444814937,826.6383093310994
1.0403467822607535,821.2045697577095
1.0803601200400132,819.0226196157331
1.120373457819273,820.0081998589088
1.1603867955985327,824.2698062750754
1.2004001333777925,829.8890086249578
1.2404134711570522,821.0480909481428
1.280426808936312,820.7309807383658
1.3204401467155717,823.1626197632511
1.3604534844948315,816.3193777216279
1.4004668222740912,823.7073811728733
1.440480160053351,821.5344406466858
1.4804934978326107,821.4899177214452
1.5205068356118705,820.5059634871456
1.5605201733911302,822.9591311977838
1.60053351117039,824.738934134645
1.6405468489496497,824.0048005838754
1.6805601867289095,825.3211119993562
1.7205735245081692,817.4510437017786
1.760586862287429,823.611531960263
1.8006002000666887,822.281206455541
1.8406135378459485,823.3573615334535
1.8806268756252082,819.3059884697734
1.920640213404468,826.8135135490566
1.9606535511837277,824.4526565585967
2.0006668889629875,824.9132634066118
2.0406802267422472,824.9187684035177
2.080693564521507,821.0430401932645
2.1207069023007667,817.86322581865
2.1607202400800265,822.6258790810996
2.2007335778592862,825.7901962030762
2.240746915638546,819.5823778878989
2.2807602534178057,824.9408020314744
2.3207735911970655,823.1499118644407
2.3607869289763252,825.2506760544802
2.400800266755585,825.2080502557918
2.4408136045348447,826.5229633499282
2.4808269423141045,820.2149249344158
2.5208402800933642,818.7302680936341
2.560853617872624,825.7496893963279
2.6008669556518837,821.3620178972013
2.6408802934311435,825.6778117815322
2.6808936312104032,818.6550542245684
2.720906968989663,828.7989724260723
2.7609203067689227,828.3617888300548
2.8009336445481825,828.5900776483868
2.8409469823274422,829.056600094759
2.880960320106702,828.143603066516
2.9209736578859617,824.4115480530784
2.9609869956652215,823.8209533260372
3.0010003334444812,834.4187700514794
3.041013671223741,824.7200688283626
3.0810270090030007,823.8195518953069
3.1210403467822605,823.2503892253687
3.1610536845615202,824.898120722122
3.20106702234078,825.9588452318391
3.2410803601200397,827.96645626848
3.2810936978992995,828.4349218699562
3.3211070356785592,824.3221145267694
3.361120373457819,818.0173270695956
3.4011337112370787,825.9062575340821
3.4411470490163385,821.7119386016414
3.4811603867955982,821.4953392322559
3.521173724574858,830.6244843688545
3.5611870623541177,826.9034382644788
3.6012004001333775,821.661288023104
3.6412137379126372,826.7855676140612
3.681227075691897,820.2745031530151
3.7212404134711567,824.763072353968
3.7612537512504165,822.3925336088776
3.8012670890296762,832.7545042554395
3.841280426808936,826.3077064555605
3.8812937645881957,825.4865407177966
3.9213071023674555,825.9863769771783
3.9613204401467152,825.8605769363367
4.001333777925975,823.2616321534092
4.041347115705235,825.7070444448152
4.0813604534844945,825.0573725601108
4.121373791263754,828.8898455395351
4.161387129043014,828.5719180321099
4.201400466822274,821.3858512342096
4.2414138046015335,827.172498247398
4.281427142380793,826.1171256263862
4.321440480160053,822.3185899775874
4.361453817939313,823.7960253559016
4.4014671557185725,827.0852438192995
4.441480493497832,822.8472241191741
4.481493831277092,823.5769432136865
4.521507169056352,822.3247247167229
4.5615205068356115,823.2941127777688
4.601533844614871,828.5511706172097
4.641547182394131,829.7075957006393
4.681560520173391,824.86968607623
4.7215738579526505,826.7012971693513
4.76158719573191,820.9593510250112
4.80160053351117,823.7450074975853
4.84161387129043,829.0314376405368
4.8816272090696895,829.002581877806
4.921640546848949,826.9835468733695
4.961653884628209,832.6076013159075
5.001667222407469,829.522697565436
5.0416805601867285,826.8838785390566
5.081693897965988,827.2477728388776
5.121707235745248,833.5399705692282
5.161720573524508,825.6733494534209
5.2017339113037675,826.5982210556635
5.241747249083027,828.599702414038
5.281760586862287,824.4808586974464
5.321773924641547,825.2437297755755
5.3617872624208065,826.6131743346176
5.401800600200066,828.3304151910307
5.441813937979326,831.7984621632452
5.481827275758586,833.063415914794
5.5218406135378455,827.6480785287395
5.561853951317105,830.257487442843
5.601867289096365,831.9007546754372
5.641880626875625,835.0761417323029
5.6818939646548845,827.7370748842162
5.721907302434144,830.5883984887396
5.761920640213404,826.1617588366835
5.801933977992664,825.7072446004902
5.8419473157719235,820.8414971161656
5.881960653551183,825.471396027823
5.921973991330443,830.2585805709876
5.961987329109703,826.7153380191659
6.0020006668889625,825.0444947287589
6.042014004668222,832.6988360177796
6.082027342447482,829.2221719039668
6.122040680226742,827.4545661535401
6.1620540180060015,830.0871229922396
6.202067355785261,827.5860337478476
6.242080693564521,823.6128882477648
6.282094031343781,832.3883514546936
6.3221073691230405,822.0681843077429
6.3621207069023,829.707760753004
6.40213404468156,834.767197705721
6.44214738246082,832.2784426122797
6.4821607202400795,826.1599175972548
6.522174058019339,833.0222294433125
6.562187395798599,832.4858018223479
6.602200733577859,827.5573749740347
6.6422140713571185,827.2150066118091
6.682227409136378,825.3901957686109
6.722240746915638,830.0319517346104
6.762254084694898,834.0039530926439
6.8022674224741575,831.4781377884734
6.842280760253417,829.7216463144105
6.882294098032677,827.7924845961173
6.922307435811937,829.8070136254129
6.9623207735911965,834.432744385333
7.002334111370456,836.4891028293373
7.042347449149716,830.1985506157605
7.082360786928976,833.662351981379
7.1223741247082355,829.4115327187417
7.162387462487495,833.7720502347065
7.202400800266755,829.2136175334356
7.242414138046015,830.1938624385851
7.2824274758252745,832.3195543518027
7.322440813604534,835.3867501722714
7.362454151383794,831.3909952702577
7.402467489163054,827.8108507999219
7.4424808269423135,836.6190130057095
7.482494164721573,823.9270963855724
7.522507502500833,830.8769516820778
7.562520840280093,831.9922905762471
7.6025341780593525,828.9794151217296
7.642547515838612,833.0132042498486
