t_s,MassFlow_kg_per_s
0.0,450.27035894404025
0.04001333777925975,454.8999772515081
0.0800266755585195,455.18322641361885
0.12004001333777925,450.93296611339883
0.160053351117039,450.17523305883583
0.20006668889629875,447.5972725078191
0.2400800266755585,458.40773679525773
0.28009336445481825,448.51434149594695
0.320106702234078,441.06731904194424
0.36012004001333775,454.8661003635448
0.4001333777925975,449.32883851951294
0.44014671557185725,452.27885737318974
0.480160053351117,458.22078144455605
0.5201733911303767,452.4023973245036
0.5601867289096365,454.7465868292427
0.6002000666888962,450.02551883034505
0.640213404468156,437.89799113998225
0.6802267422474157,447.09171656987866
0.7202400800266755,447.35775173813386
0.7602534178059352,452.0060811091132
0.800266755585195,448.2115017864829
0.8402800933644547,452.1168905997231
0.8802934311437145,450.8989770313516
0.9203067689229742,440.3621525999213
0.960320106702234,457.20539977869515
1.0003334444814937,450.91481407734415
1.0403467822607535,447.30215209624794
1.0803601200400132,453.10974300350665
1.120373457819273,440.85321019759397
1.1603867955985327,446.2197853907079
1.2004001333777925,449.45493447638154
1.2404134711570522,450.0505726004097
1.280426808936312,444.24203970984297
1.3204401467155717,459.79829621603574
1.3604534844948315,451.7169487956884
1.4004668222740912,456.30661161238436
1.440480160053351,449.1805793626905
1.4804934978326107,447.44775266227265
1.5205068356118705,447.04790404168625
1.5605201733911302,450.805142530307
1.60053351117039,459.20290685954853
1.6405468489496497,453.5479903252368
1.6805601867289095,439.3079026080401
1.7205735245081692,445.52692326856715
1.760586862287429,453.09062455653566
1.8006002000666887,447.97409087480327
1.8406135378459485,450.0457507729663
1.8806268756252082,454.75376119673314
1.920640213404468,451.74630196888637
1.9606535511837277,458.30701248819827
2.0006668889629875,450.22953278875275
2.0406802267422472,442.0678741636738
2.080693564521507,444.70715418167435
2.1207069023007667,448.7337171286385
2.1607202400800265,445.7277509457009
2.2007335778592862,457.9055244209816
2.240746915638546,453.2501482491542
2.2807602534178057,452.561342229354
2.3207735911970655,445.7323915862113
2.3607869289763252,450.25405403428084
2.400800266755585,453.8391560376786
2.4408136045348447,443.81504283954564
2.4808269423141045,451.2463226972697
2.5208402800933642,441.9944263165555
2.560853617872624,442.8233085662111
2.6008669556518837,450.229025603956
2.6408802934311435,457.7362812836583
2.6808936312104032,452.8137192888358
2.720906968989663,455.6949533060002
2.7609203067689227,449.3836234621052
2.8009336445481825,446.47713509218545
2.8409469823274422,450.1696698656989
2.880960320106702,448.5196361509217
2.9209736578859617,441.31230477849215
2.9609869956652215,459.3283243438701
3.0010003334444812,445.50804810428474
3.041013671223741,446.63137514114135
3.0810270090030007,443.9290490443369
3.1210403467822605,450.5034275684708
3.1610536845615202,445.18903687333665
3.20106702234078,454.16586605491614
3.2410803601200397,445.0376065444077
3.2810936978992995,451.41496275310527
3.3211070356785592,449.1432345215458
3.361120373457819,446.0714872967401
3.4011337112370787,452.1441716798244
3.4411470490163385,443.5397738169907
3.4811603867955982,449.34136025078504
3.521173724574858,440.02137899975094
3.5611870623541177,448.8918804062673
3.6012004001333775,445.2260117126445
3.6412137379126372,450.7226512748631
3.681227075691897,447.85619932504727
3.7212404134711567,444.40473395005284
3.7612537512504165,450.6840003797236
3.8012670890296762,454.14993655426696
3.841280426808936,449.72756179979564
3.8812937645881957,460.9895842142939
3.9213071023674555,449.2656707566326
3.9613204401467152,448.2828466007291
4.001333777925975,444.62733054513944
4.041347115705235,446.3335548434671
4.0813604534844945,446.54729766144914
4.121373791263754,455.1317831207677
4.161387129043014,452.764273890724
4.201400466822274,444.75962188982237
4.2414138046015335,450.14675357290315
4.281427142380793,447.87108850203805
4.321440480160053,445.31729075358
4.361453817939313,447.2582907135662
4.4014671557185725,439.52546205910585
4.441480493497832,454.69663227323565
4.481493831277092,447.47086027470925
4.521507169056352,456.1464797285635
4.5615205068356115,443.3026585895037
4.601533844614871,456.64696234783116
4.641547182394131,453.29102060158027
4.681560520173391,456.4049392509807
4.7215738579526505,448.4488447215473
4.76158719573191,449.8939755708946
4.80160053351117,452.7706085961336
4.84161387129043,448.36682370615364
4.8816272090696895,443.7546463886818
4.921640546848949,444.16317624688696
4.961653884628209,453.9253720509741
5.001667222407469,449.80419611265876
5.0416805601867285,450.32097128013777
5.081693897965988,450.62359265254435
5.121707235745248,453.97772664094714
5.161720573524508,446.19714637841696
5.2017339113037675,452.6816136378656
5.241747249083027,446.54716846427306
5.281760586862287,457.9093133192299
5.321773924641547,455.76083222930885
5.3617872624208065,454.4013455159258
5.401800600200066,447.1677650967535
5.441813937979326,443.5820715883571
5.481827275758586,447.09802651450343
